Unnamed: 0.1,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode,popularity,Artist_Track
0,0,0.825,0.113,118.941,0.0409,0.314,0.842,4.0,0.782,4,524625,-10.71,0.271,6MxZqlZtU06wSOTOwKREjm,0,0,Masomenos: Four
1,1,0.933,0.0552,126.159,0.0877,3.85e-05,0.871,4.0,0.796,6,314427,-9.86,0.906,5ReytUIVdeN1lHEzTNGfLi,1,0,Marc Mac: Footwork
2,2,0.899,0.107,121.0,0.0601,0.115,0.000105,4.0,0.511,9,268893,-5.323,0.0697,6VCqx14OVaX9uwSvC0PvAG,0,49,Röyksopp: The Girl And The Robot
3,3,0.877,0.255,103.538,0.133,0.0102,0.186,4.0,0.676,10,163667,-3.847,0.672,7rSn37L6jGaPnOOLBbEwXX,1,41,Röyksopp: Happy Up Here
4,4,0.432,0.0987,179.957,0.0751,0.448,0.889,4.0,0.545,4,455907,-18.741,0.0785,3UKIr2eCexBMY3N1W8jtwZ,0,18,Bugge Wesseltoft: Dreaming
5,5,0.851,0.363,134.003,0.0372,0.00962,0.817,4.0,0.636,1,301613,-5.488,0.812,57U809GxXzBaY7Vk8ZKfDT,0,33,Röyksopp: Miss It So Much
6,6,0.958,0.793,121.88,0.0589,0.00014,0.000335,4.0,0.525,7,281520,-4.766,0.521,7k5dNiHDR47XeeB7g4kfFu,1,38,Röyksopp: This Must Be It
7,7,0.446,0.101,97.856,0.0275,0.688,0.000745,4.0,0.524,8,265773,-7.823,0.22,6T8qnBbc2rxlWLiweD1e5M,0,56,Fleet Foxes: Blue Ridge Mountains
8,8,0.547,0.0737,99.959,0.0269,0.545,0.00533,4.0,0.539,4,249707,-7.848,0.141,7dedfbRRBWpLisnJyzLUay,0,47,Fleet Foxes: Your Protector
9,9,0.47,0.381,110.002,0.0285,0.683,0.969,4.0,0.572,5,182267,-10.356,0.229,6cOwNw3Vl3QonGuyqNW5GL,1,44,Fleet Foxes: Heard Them Stirring
10,10,0.556,0.339,93.951,0.0297,0.256,4.56e-05,4.0,0.507,1,200493,-5.53,0.456,2xa35aj67lT8L4teMR64XK,1,47,Fleet Foxes: He Doesn'T Know Why
11,11,0.472,0.0853,127.854,0.103,4.17e-05,0.481,4.0,0.784,5,316000,-14.159,0.431,2fLvJ0B1NZk9Gs0KY1tHXR,1,13,Miss Kittin & The Hacker: Nurse
